0,776
1,0
2,0
3,0
4,0
5,2
6,0
7,0
8,4
9,5
10,4
11,3
12,7
13,21
14,34
15,21
16,18
17,37
18,44
19,50
20,83
21,123
22,138
23,85
24,115
25,135
26,130
27,91
28,129
29,141
30,166
31,205
32,344
33,319
34,363
35,458
36,537
37,475
38,503
39,446
40,424
41,397
42,480
43,428
44,482
45,396
46,488
47,400
48,469
49,385
50,576
51,455
52,495
53,512
54,670
55,598
56,689
57,777
58,823
59,961
60,954
61,1146
62,1215
63,1320
64,1499
65,1859
66,1674
67,2078
68,2377
69,2389
70,2496
71,3595
72,3459
73,2678
74,4267
75,5007
76,3555
77,4116
78,4971
79,4312
80,4095
81,4358
82,4174
83,4011
84,3683
85,3795
86,3465
87,3536
88,3035
89,3165
90,3017
91,2899
92,2657
93,3064
94,2480
95,3067
96,2597
97,2518
98,2791
99,6397
100,2882
101,3183
102,2716
103,2635
104,2620
105,2459
106,2805
107,2521
108,2375
109,2303
110,2776
111,2700
112,2482
113,2364
114,2512
115,2656
116,2403
117,2402
118,2669
119,2396
120,2200
121,2426
122,2697
123,2388
124,2042
125,2210
126,2271
127,2374
128,2084
129,2065
130,2277
131,2128
132,2310
133,1966
134,2174
135,1878
136,2339
137,1947
138,1988
139,2001
140,1900
141,1944
142,1985
143,1841
144,1886
145,1863
146,1803
147,1868
148,1769
149,1636
150,1677
151,1922
152,1618
153,1506
154,1481
155,1734
156,1401
157,1394
158,1381
159,1478
160,1219
161,1296
162,1210
163,1172
164,1155
165,1066
166,1095
167,1046
168,1010
169,973
170,1058
171,986
172,1108
173,864
174,1122
175,1249
176,1276
177,841
178,1214
179,1281
180,1101
181,1094
182,1286
183,1513
184,915
185,1179
186,1273
187,1375
188,1136
189,1154
190,1629
191,1635
192,1234
193,1121
194,2001
195,1378
196,1620
197,1938
198,2089
199,947
200,1739
201,1268
202,1272
203,724
204,1118
205,1052
206,959
207,651
208,899
209,661
210,638
211,692
212,745
213,449
214,655
215,601
216,672
217,520
218,500
219,599
220,721
221,503
222,539
223,814
224,969
225,419
226,918
227,906
228,699
229,678
230,1256
231,1159
232,716
233,1486
234,1766
235,1046
236,1204
237,1669
238,1363
239,982
240,897
241,1220
242,1131
243,509
244,795
245,883
246,625
247,644
248,490
249,671
250,3268
251,14047
252,8815
253,1919
254,630
255,187
